verb;transcriptionEn;category;meaning;translation;transcriptionRu
cower;/ˈkaʊ.ər/;F;опускать голову или все тело в страхе;сжиматься, съёживаться, пригибаться, забиваться, трепетать, припадать;sžiˈmaca, ˈs’ožыvaca, pr’ig’iˈbaca, zab’iˈvaca, tr’ip’iˈtat’, pr’iˈpaˈdat’
crack;/kræk/;FI;ударять кого-либо или что-либо;(давать) затрещину, трескать, трескаться, ломать, ломаться, щелкать, надкалывать, раскалываться, раскалывать, разбивать;zaˈtr’eš’inu, ˈtr’eskat’, ˈtr’eskaca, laˈmat’, laˈmaca, ˈš’olkat’, naˈdkalыvat’, rasˈkalыvaca, rasˈkalыvat’, razb’iˈvat’
cram;/kræm/;FIC;силой помещать предметы в узкое пространство;впихивать, втискивать, вбивать, втолковывать, вталкивать, напихивать, набивать, загромождатьзабивать, заполнять, громоздить;ˈvp’ix’ivat’, ˈvt’iskivat’, v’b’iˈvat’, ftalˈkovыvat’, ˈftalk’ivat’, naˈp’ix’ivat’, nab’iˈvat’, zagramažˈdat’, zab’iˈvat’, zapalˈn’at’, gramaˈz’d’it’
crash;/kræʃ/;FC;ударять что-либо с громким шумом;падать, рушиться, грохотать, разбивать, (потерпеть) крушение, рухать, валиться, наскакивать, отрубаться;ˈpadat’, ˈrušыca, graxaˈtat’, razˈb’ivat’, kruˈšen’ije, ˈruxat’, vaˈl’ica, naˈskak’ivat’, atruˈbaca
crawl;/krɔːl/;F;двигаться медленно и с трудом, особенно на всех четырех конечностях или лежа на животе;ползти, пресмыкаться, тащиться, подкрадываться, лезть, подлезать, красться, стелиться;palˈst’i, pr’ismыˈkaca, taˈš’ica, patˈkradыvaca, l’est’, padl’iˈzat’, ˈkrasca, st’iˈl’ica
creep;/kriːp/;F;двигаться медленно, тихо и аккуратно, чтобы остаться незамеченным;ползать, пресмыкаться, красться, подкрадываться, виться, (идти) крадучись, лазить, проползать, прокрадываться, стелиться;ˈpolzat’, pr’ismыˈkaca, ˈkrasca, patkradыvaca, ˈv’ica, ˈkradučis’, ˈlaz’it’, prapalzat’, praˈkradыvaca, st’iˈl’ica
crimp;/krɪmp/;FIC;склдаывать ткань, бумагу и проч. в небольшие складки;складывать, завивать, сгибать, сжимать, спрессовывать, загибать, гнуть, (делать) складки, отгибать;ˈskladыvat’, zav’iˈvat’, sg’iˈbat’, sžыˈmat’, spr’iˈsovavat’, zag’iˈbat’, gnut’, ˈsklatk’i, atg’iˈbat’
crook;/krʊk/;F;сгибать руку или палец;сгибать, изгибать, искривлять, скрючивать, горбить, крючить, корючить;sg’iˈbat’, izg’iˈbat’, ’iskr’iˈvl’at’, ˈskr’učivat’, garˈb’it’, ˈkr’učit’, kaˈr’učit’
crop;/krɒp/;F;укорачивать что-либо, особенно острым предметом ;подстригать, обрезать, подрезать, стричь, остригать, выжинать, щипать, срезать, жать, косить, отсекать, отрезать;pactr’iˈgat’, abr’eˈzat’, padr’eˈzat’, štr’ič, astr’iˈgat’, vыžыˈnat’, š’iˈpat’, sr’eˈzat’, žat’, kaˈs’it’, at’s’iˈkat’, atr’eˈzat’
cross;/krɒs/;FIC;идти с одного конца какого-либо места до другого;пересекать, переходить, переправляться, скрещивать, пересекаться, расходиться, перебегать, переступать, перешагивать;p’ir’is’iˈkat’, p’ir’ixaˈd’it’, p’ir’ipraˈvl’aca, ˈskr’eš’ivat’, p’ir’is’iˈkaca, r’asxaˈd’ica, p’ir’ib’iˈgat’, p’ir’istuˈpat’, p’ir’iˈšag’ivat’
cruise;/kruːz/;F;путешествовать на корабле ради удовольствия;(совершать) рейсы, путешествовать, (совершать) плавание, крейсировать, следовать;ˈr’ejsы, put’iˈšestvavat’, ˈplavan’e, kr’ijs’iraˈvat’, ˈsl’edavat’
crumble;/ˈkrʌm.bl̩/;FIC;ломать что-либо на мелкие кусочки;крошить, крошиться, осыпаться, обваливаться, раздроблять, толочь, растирать, распадаться, разрушать, разрушаться, искрошить, ломать, ломаться;kraˈšit’, kraˈšica, asыˈpaca, abˈval’ivaca, razdraˈb’l’at’, taˈloč, rast’iˈrat’, raspaˈdaca, razruˈšat’, razruˈšaca, iskraˈšыt’, laˈmat’, laˈmaca
crumple;/ˈkrʌm.pl̩/;FIC;резко падать на землю;сваливаться, рухнуть, падать, съеживаться, рушиться, обрушиваться ;ˈsval’ivaca, ˈruxnut’, ˈpadat’, ˈs’ožыvaca, ˈrušыca, aˈbrušыvaca
crunch;/krʌntʃ/;FC;громко пережевывать твердую еду, издавать звук хруста, ломания чего-либо;грызть, хрустеть, трещать, скрипеть, разжевывать, хрумкать, разламывать, хряснуть, хрупать;grыst’, xrusˈt’et’, tr’iˈš’at’, skr’iˈp’et’, raˈževыvat’, ˈxrumkat’, raˈzlamыvat’, ˈxr’asnut’, ˈxrupat’
crush;/krʌʃ/;FC;сжимать предмет так сильно, чтобы он сломался, потерял форму;давить, дробить, толочь, размельчать, выжимать, мять, крушить, измельчать, расщебенивать, уничтожать, разрушать, сдавливать;daˈv’it’, draˈb’it’, taˈloč, razm’il’ˈčat’, vыžыˈmat’, m’at’, kruˈšыt’, ’izm’il’ˈčat’, raš’iˈb’en’ivat’, un’ičtaˈžat’, razruˈšat’, ˈsdavl’ivat’
cuff;/kʌf/;IC;слегка ударять что-либо рукой часто в шуточной манере;ударять, шлепать, стукать, тузить, тюкать;udaˈr’at’, ˈšl’opat’, ˈstukat’, ˈtuz’it’, ˈt’ukat’
curve;/kɜːv/;F;образовывать заворот;гнуть, сгибать, изгибать, изгибаться, гнуться, сгибаться, горбиться, кривить, искривляться, искривлять, загибать, загибаться;gnut’, sg’iˈbat’, izg’iˈbat’, izg’iˈbaca, ˈgnuca, sg’iˈbaca, ˈgorb’ica, kr’iˈv’it’, iskr’iˈvl’aca, iskr’iˈvl’at’, zag’iˈbat’, zag’iˈbaca
cut;/kʌt/;I;разделять что-либо, делать меньше, используя острый инструмент;резать, отрезать, стричь, рубить, разрезать, надрезать, нарезать, рубить, срезать, колоть, разрубать;ˈr’ezat’, atr’iˈzat’, štr’ič, ruˈb’it’, razr’iˈzat’, nadr’iˈzat’, nar’iˈzat’, ruˈb’it’, sr’eˈzat’, kaˈlot’, razruˈbat’
dab;/dæb/;I;трогать быстрыми и легкими касаниями;прикасаться, намазывать, покрывать, (делать) мазки, тыкать, покрывать, трогать, дотрагиваться, наносить, касаться;pr’ikaˈsaca, naˈmazыvat’, pakr’iˈvat’, masˈk’i, ˈtыkat’, pakr’iˈvat’, ˈtrogat’, ˈdaˈtrag’ivaca, nanaˈs’it’, kaˈsaca
dabble;/ˈdæb.l̩/;I;опускать конечность воду и двигать ею;плескать, плескаться, брызгать, брызгаться, барахтаться, опрыскивать, орошать, бултыхаться, полоскать;pl’isˈkat’, pl’isˈkaca, ˈbrыzgat’, ˈbrыzgaca, baˈraxtaca, aˈprыsk’ivat’, araˈšat’, bultыˈxaca, palaˈskat’
dance;/dɑːns/;C;двигаться под музыку;танцевать, плясать, прыгать, скакать, кружиться, отплясывать;tancыˈvat’, pl’iˈsat’, ˈprыgat’, skaˈkat’, kruˈžыca, atˈpl’asыvat’
dandle;/ˈdæn.dl̩/;IC;держать ребенка на коленях, покачивая его;качать, ласкать, нянчить, холить, нежить;kaˈčat’, laˈskat’, ˈn’ančit’, ˈxolit’, ˈn’ežыt’
dart;/dɑːt/;F;двигаться быстро или резко;мчаться, помчаться, устремляться, метаться, рваться, бросаться, бежать, стрельнуть, шмыгать, шпарить;ˈmčaca, paˈmčaca, ustr’iˈml’aca, m’iˈtaca, ˈrvaca, braˈsaca, b’iˈžat’, ˈstr’el’nut’, ˈšmыgat’, ˈšpar’it’
dash;/dæʃ/;IC;быстро идти куда-либо;бросаться, рваться, мчаться, носиться, (делать) рывок, швыряться, мелькать, пускаться;braˈsaca, ˈrvaca, ˈmčaca, naˈs’ica, rыˈvok, švыˈr’aca, m’il’ˈkat’, puˈskaca
dawdle;/ˈdɔː.dl̩/;IC;делать что-либо или идти куда-либо крайне медленно, тратя больше времени, чем требуется;слоняться, бездельничать, тащиться, копаться, возиться, мешкать, медлить, плестись, брести, дремать;slaˈn’aca, b’iˈzd’el’n’ičat’, taˈš’ica, kaˈpaca, vaˈz’ica, ˈm’eškat’, ˈm’edl’it’, pl’iˈst’is’, br’iˈst’i, dr’iˈmat’
deck;/dek/;I;ударять кого-либо, особенно сбивая его с ног;уложить, валить (с ног), вырубать, сбивать (с ног);ulaˈžыt’, vaˈl’it’, vыruˈbat’, sb’iˈvat’
delve;/delv/;I;продолжительно искать что-либо (предмет или информацию);рыться, копаться, (делать) изыскания, погружаться, углубляться, изучать, анализировать;ˈrыca, kaˈpaca, izыˈskan’ija, pagruˈžaca, ugluˈb’l’aca, ’izuˈčat’, anal’iˈz’iravat’
dent;/dent/;IC;делать маленькую выемку на поверхности чего-либо;насекать, нарезать, вминать, (оставлять) выбоину, вонзать, вдавливать, (делать) зарубок;nas’iˈkat’, nar’iˈzat’, vm’iˈnat’, ˈvыbainu, vanˈzat’, ˈvdavl’ivat’, zaˈrubak
depart;/dɪˈpɑːt/;F;уходить, покидать что-либо, обыкновенно отправляясь в поездку;уходить, уезжать, отбывать, отправляться, отступать, выезжать, покидать, убираться, ретироваться;uxaˈd’it’, ujiˈžat’, atbыˈvat’, atpraˈvl’aca, actuˈpat’, vыjiˈžat’, pak’iˈdat’, ub’iˈraca, r’iˈt’iravaca
descend;/dɪˈsend/;IC;спускаться, идти вниз;спускаться, сходить, снижаться, опускаться, падать, скатываться;spuˈskaca, sxaˈd’it’, sn’iˈžaca, apuˈskaca, ˈpadat’, ˈskatыvaca
dig;/dɪɡ/;IC;копать;копать, рыть, выкапывать, раскапывать, откапывать, вырывать, вонзать, копаться, прокапывать;kaˈpat’, rыt’, vыˈkapыvat’, raˈskapыvat’, atˈkapыvat’, vыrыˈvat’, vanˈzat’, kaˈpaca, praˈkapыvat’
ding;/dɪŋ/;IC;слегка повреждать поверхность предмета ударом;ломать, разбивать, повреждать, (оставлять) вмятину, вбивать, вдалбливать;laˈmat’, razb’iˈvat’, pavr’ižˈdat’, ˈvm’at’inu, v’b’iˈvat’, ˈvdalbl’ivat’
dip;/dɪp/;I;идти, спускаться на уровень ниже;погружать, погружаться, окунать, окунаться, нырять, спускаться, спускать, опускаться, опускать, зачерпывать, черпать;pagruˈžat’, pagruˈžaca, akuˈnat’, akuˈnaca, nыˈr’at’, spuˈskaca, spuˈskat’, apuˈskaca, apuˈskat’, zaˈčorpыvat’, čerˈpat’
disinter;/ˌdɪs.ɪnˈtɜːr/;IC;выкапывать тело из земли;выкапывать (из могилы), откапывать, отрывать, раскапывать, вскрывать;vыˈkapыvat’, atˈkapыvat’, atrыˈvat’, rasˈkapыvat’, fskrыˈvat’
dislodge;/dɪˈslɒdʒ/;I;убирать кого-либо с места силой;удалять, смещать, вытеснять, выгонять, выбивать, заставлять (уйти), изгонять, выживать, сдвигать;udaˈl’at’, sm’iˈš’at’, vыt’isˈn’at’, vыgaˈn’at’, vыb’iˈvat’, zastavˈl’at’, ’izgaˈn’at’, vыžыˈvat’, sdv’iˈgat’
dismount;/dɪˈsmaʊnt/;IC;слезать с лошади, велосипеда, мотоцикла;спешиваться, слезать, сходить, спускаться, высаживаться, соскакивать, опускаться;ˈsp’ešыvaca, sl’iˈzat’, sxaˈd’it’, spuˈskaca, vыˈsažыvaca, saˈskak’ivat’, apuˈskaca
dissect;/daɪˈsekt/;I;вскрывать мертвое тело, чтобы изучить его структуру;рассекать, вскрывать, анатомировать, разрезать;rass’iˈkat’, fskrыˈvat’, anataˈm’iravat’, razr’iˈzat’
dive;/daɪv/;C;очень быстро двигаться вниз;нырять, погружаться, пикировать, бросаться (вниз), углубляться, окунаться;nыˈr’at’, pagruˈžaca, p’iˈk’iravat’, braˈsaca, ugluˈbl’aca, akuˈnaca
dock;/dɒk/;I;удалять часть чего-либо;обрубать, стричь, уменьшать, сокращать, лишать, урезать, остригать, укорачивать;abruˈbat’, str’ič, um’in’ˈšat’, sakraˈš’at’, l’iˈšat’, ur’iˈzat’, astr’iˈgat’, ukaˈračivat’
dodge;/dɒdʒ/;I;уклоняться от удара, уходя в сторону;избегать, увертываться, уклоняться, увиливать, маневрировать, уворачиваться, петлять;’izb’iˈgat’, uˈv’ortыvaca, uklaˈn’aca, uˈv’ilivat’, man’iˈvr’iravat’, uvaˈračыvaca, p’itˈl’at’
doff;/dɒf/;IC;снимать шляпу в знак уважения;снимать, сбрасывать, скидывать, избавляться;sn’iˈmat’, ˈsbrasыvat’, ˈsk’idыvat’, ’izbavˈl’aca
don;/dɒn/;IC;надевать предмет одежды;надевать, примерять, одевать, одеваться, натягивать, нацеплять, облачаться;nad’iˈvat’, pr’im’iˈr’at’, ad’iˈvat’, ad’iˈvaca, naˈt’ag’ivat’, nacыpˈl’at’, ablaˈčaca
drag;/dræɡ/;F;двигать что-либо, таща это по поверхности зесли;тащить, тащиться, волочить, волочиться, тянуть, тянуться, тащить (волоком);taˈš’it’, taˈš’ica, valaˈčit’, valaˈčica, t’iˈnut’, t’iˈnuca, taˈš’it’
draw;/drɔː/;F;двигаться в определенном направлении;тащиться, отводить, тянуться, волочить, волочиться, тащить, тянуть, натягивать;taˈš’ica, atvaˈd’it’, t’iˈnuca, valaˈčit’, valaˈčica, taˈš’it’, t’inut’, naˈt’ag’ivat’
dribble;/ˈdrɪb.l̩/;F;течь в небольшом количестве;капать, лить (по капле), пускать (по капле), сочиться, течь (струйкой), подтекать, покапывать;ˈkapat’, l’it’, puˈskat’, saˈčica, t’eč, patt’iˈkat’, paˈkapыvat’
drift;/drɪft/;FIC;медленно двигаться из-за чьего-то вмешательства;перемещаться (по течению), дрейфовать, плыть (по течению), сносить, сдвигаться;p’ir’im’iˈš’aca, dr’ijfaˈvat’, plыt’, snaˈs’it’, sdv’iˈgaca
drink;/drɪŋk/;FIC;пить;пить, выпивать, (делать) глоток, отпивать, хлебать, испивать, пропивать;p’it’, vыp’iˈvat’, glaˈtok, atp’iˈvat’, xl’iˈbat’, isp’iˈvat’, prap’iˈvat’
drip;/drɪp/;FI;падать каплями;капать, течь, стекать, истекать, слезиться, сочиться, покапывать;ˈkapat’, t’eč, st’iˈkat’, ist’iˈkat’, sl’iˈz’ica, saˈčica, paˈkapыvat’
drive;/draɪv/;F;передвигаться на автомобиле;гнать, управлять, ехать, двигаться, нестись, возить, водить, вести;gnat’, upraˈvl’at’, ˈjexat’, ˈdv’igaca, n’iˈst’is’, vaˈz’it’, vaˈd’it’, v’iˈst’i
drizzle;/ˈdrɪzl/;F;выливать жидкость на что-либо тонкой струей;моросить, капать, лить (по каплям), накрапывать, опрыскивать;maraˈs’it’, ˈkapat’, l’it’, naˈkrapыvat’, aˈprыsk’ivat’
drop;/drɒp/;FI;падать самому или ронять что-либо;падать, ронять, спадать, выпускать (из рук), терять, бросать;ˈpadat’, raˈn’at’, spaˈdat’, vыpusˈkat’, t’iˈr’at’, braˈsat’
duck;/dʌk/;I;двигать голову или верхнюю часть туловища, уклоняясь от чего-либо;нырять, окунать, окунаться, уклоняться, увертываться, нагнуться, нагнуть, наклоняться, уворачиваться, отклоняться;nыˈr’at’, akuˈnat’, akuˈnaca, uklaˈn’aca, uˈv’ortыvaca, naˈgnuca, naˈgnut’, naklaˈn’aca, uvaˈračivaca, atklaˈn’aca
dump;/dʌmp/;IC;неаккуратно класть или ронять что-либо;сбрасывать, сваливать, опрокидывать, ронять, бросать, оставлять, вываливать, разгружать, скидывать, выливать, опорожнять, опрокидывать, валить, выгружать;ˈsbrasыvat’, ˈsval’ivat’, apraˈk’idыvat’, raˈn’at’, braˈsat’, astaˈvl’at’, vыˈval’ivat’, razgruˈžat’, ˈsk’idыvat’, vыl’iˈvat’, aparažˈn’at’, vaˈl’it’, vыgruˈžat’
dunk;/dʌŋk/;IC;опускать еду в жидкость перед тем как съесть;макать, обмакивать, окунаться, замачивать, окунать, топить ;maˈkat’, abˈmak’ivat’, akuˈnaca, zaˈmačivat’, akuˈnat’, taˈp’it’
ease;/iːz/;C;медленно двигать что-либо или двигаться самому в определенном направлении;облегчать, избавлять, освобождать распускать, опускать, опускаться, устраиваться, расслабляться, расслаблять, усесться;abl’ixˈčat’, izbaˈvl’at’, asfabažˈdat’, raspuˈskat’, apuˈskat’, apuˈskaca, usˈtraivaca, raslabˈl’aca, raslaˈbl’at’, uˈs’esca
eat;/iːt/;IC;класть еду в рот, пережевывать и проглатывать ее;есть, поедать, поглощать, питаться, пожирать, грызть, обедать, закусывать, вкушать, употреблять (в пищу), жрать, кормиться, заедаться, объедаться, кушать, принимать (в пищу);jest’, paiˈdat’, paglaˈš’at’, p’iˈtaca, pažыˈrat’, grыst’, ab’eˈdat’, zaˈkusыvat’, fkuˈšat’, upatr’iˈbl’at’, žrat’, karˈm’ica, zaiˈdaca, ab’eˈdaca, ˈkušat’, pr’in’iˈmat’
edge;/edʒ/;I;медленно двигать или двигаться небольшими рывками;пододвигать, продвигаться, пробираться, пролезать, продвигать, пододвигаться;padadv’iˈgat’, pradv’iˈgaca, prab’iˈraca, pral’iˈzat’, pradv’iˈgat’, padadv’iˈgaca
elevate;/ˈel.ɪ.veɪt/;-;поднимать что-либо;поднимать, повышать, возвышать, возносить, повысить;pad’iˈn’imat’, pavыˈšat’, vazvыˈšat’, vazˈnos’it’, pavыˈs’it’
emerge;/ɪˈmɜːdʒ/;F;появляться, выходя откуда-то;появляться, выходить, всплывать, вставать, возникать, подниматься, показываться, выплывать, вырисовываться, проявляться;paiˈvl’aca, vыˈxod’it’, fsplыˈvat’, fstaˈvat’, vaz’n’iˈkat’, pad’iˈmaca, paˈkazыvaca, vыplыˈvat’, vыr’iˈsovыvaca, praiˈvl’aca
engrave;/ɪnˈɡreɪv/;F;наносить слова, картинки, узоры на поверхность чего-либо твердого;гравировать, резать, чеканить, вырезать;grav’iraˈvat’, ˈr’ezat’, čiˈkan’it’, ˈvыr’izat’
enter;/ˈen.tər/;IC;приходить или идти в определенное место;входить, проникать, вонзаться, вступать, заходить, въезжать, заезжать;fxaˈd’it’, pran’iˈkat’, vanˈzaca, fstuˈpat’, zaˈxad’it’, ˈv’ežat’, zaˈježat’
entwine;/ɪnˈtwaɪn/;C;сгибрать что-либо вокруг другого предмета;обвивать, сплетать, сплетаться, вплетать, обхватывать, плести, переплетать, обнимать, овивать;abv’iˈvat’, spl’iˈtat’, spl’iˈtaca, fpl’iˈtat’, apˈxvatыvat’, pl’iˈst’i, p’ir’ipl’iˈtat’, abn’iˈmat’, av’iˈvat’
erase;/ɪˈreɪz/;F;стирать что-либо, особенно след от карандаша;стирать, соскабливать, подчищать, удалять, уничтожать, выскабливать, очищать, затирать, изглаживать, счищать;st’iˈrat’, saˈskabl’ivat’, patčiˈš’at’, udaˈl’at’, un’ičtaˈžat’, vыˈskabl’ivat’, ačiˈš’at’, zat’iˈrat’, izˈglažыvat’, sčiˈš’at’
etch;/eʧ/;I;наносить узор или рисунок на твердую поверхность;гравировать, травить, оставлять (след), вырезать;grav’iraˈvat’, traˈv’it’, astav’ˈl’at’, vыr’iˈzat’
excavate;/ˈek.skə.veɪt/;-;копать землю, чтобы обнаружить что-либ под землей;копать, рыть, выкапывать, откапывать, раскапывать, (вести) раскопки, вырывать;kaˈpat’, rыt’, vыˈkapыvat’, atˈkapыvat’, raˈskapыvat’, rasˈkop’k’i, vыrыˈvat’
excise;/ekˈsaɪz/;-;удалять что-либо, особенно острым предметом;вырезать, отрезать, удалять, ампутировать, отделять;vыr’iˈzat’, atr’iˈzat’, udaˈl’at’, ampuˈt’iravat’, atd’iˈl’at’
exhume;/eksˈhjuːm/;-;выкапывать тело из земли после погребения;эксгумировать, (производить) эксгумацию, выкапывать, вытаскивать, вырыть, откапывать;iksguˈm’iravat’, iksguˈmaciju, vыˈkapыvat’, vыˈtas’k’ivat’, ˈvыrыt’, atˈkapыvat’
exit;/ˈek.sɪt/;-;выходить из дома или транспортного средства;выходить, покидать, уходить, удаляться;vыxaˈd’it’, pak’iˈdat’, uxaˈd’it’, udaˈl’aca
extirpate;/ˈek.stɜː.peɪt/;-;целиком уничтожать или удалять что-либо;искоренять, вырывать, истреблять, удалять, уничтожать, вылущивать, ликвидировать, выкорчевывать;iskar’iˈn’at’, vыrыˈvat’, istr’iˈbl’at’, udaˈl’at’, un’ičtaˈžat’, vыˈluš’ivat’, l’ikv’iˈd’iravat’, vыkarˈčovыvat’
extract;/ɪkˈstrækt/;-;удалять или уносить что-либо;вытаскивать, удалять, извлекать, выжимать, вырывать, извлекать, вытягивать, выцеживать, добывать, заполучать;vыˈtas’k’ivat’, udaˈl’at’, izvl’iˈkat’, vыžыˈmat’, vыrыˈvat’, izvl’iˈkat’, vыˈt’ag’ivat’, vыˈcežыvat’, dabыˈvat’, zapaluˈčat’
fall;/fɔːl/;C;резко двигаться в направлении земли;падать, спадать, снижаться, опускаться, оседать, спускаться, сходить, осыпаться, сваливаться, валиться;ˈpadat’, spaˈdat’, sn’iˈžaca, apuˈskaca, as’iˈdat’, spuˈskaca, sxaˈd’it’, asыˈpaca, svaˈl’ivaca, vaˈl’ica
fasten;/ˈfɑː.sən/;C;фиксировать, скреплять что-либо вместе;связывать, прикреплять, привязывать, скреплять, укреплять, застегивать, зажимать, соединять, фиксировать, привязываться, прикручивать, припутывать, приснащать, прицеплять;ˈsv’azыvat’, pr’ikr’iˈpl’at’, pr’iˈv’azыvat’, skr’iˈpl’at’, ukr’iˈpl’at’, zaˈst’ogivat’, zažыˈmat’, said’iˈn’at’, f’ikˈs’iravat’, pr’iˈv’azыvaca, pr’iˈkručivat’, pr’iˈputыvat’, pr’isnaˈš’at’, pr’icepˈl’at’
feel;/fiːl/;C;трогать что-либо;трогать, ощущать, осязать, чувствовать, нащупывать, шарить, испытывать, искать (ощупью), прикасаться, касаться;ˈtrogat’, aš’uˈš’at’, as’iˈzat’, ˈčustvavat’, naˈš’upыvat’, ˈšar’it’, iˈspыtыvat’, iˈskat’, pr’ikaˈsaca, kaˈsaca
fell;/fel/;I;срубать деревья;рубить, валить, сбивать, подрубать, сваливать, подкашивать, срезать, вырубать;ruˈb’it’, vaˈl’it’, sb’iˈvat’, patruˈbat’, svaˈl’ivat’, patˈkašыvat’, sr’iˈzat’, vыˈrubat’
fence;/fens/;IC;сражаться длинным тонким мечом;фехтовать, парировать, дуэлировать, биться, сражаться;f’ixtaˈvat’, paˈr’iravat’, duil’iˈr’ivat’, ˈb’ica, sraˈžaca
ferry;/ˈfer.i/;F;перевозить людей или товары, особенно в регулярном режиме;переправлять, перевозить, перегонять, доставлять, транспортировать, возить;p’ir’ipraˈvl’at’, p’ir’ivaˈz’it’, p’ir’igaˈn’at’, daˈstav’it’, transparˈt’iravat’, ˈvaz’it’
fetch;/fetʃ/;I;ударять кого-либо рукой;ударить, стукать, шлепать, бить, тюкать, колотить;uˈdar’it’, ˈstukat’, ˈšl’opat’, ˈb’it’, ˈt’ukat’, kalaˈt’it’
fiddle;/ˈfɪd.l̩/;I;перемещать предметы или трогать их без какой-либо конкретной цели;бездельничать, вертеть (в руках), возиться, теребить, играться, суетиться;b’izˈd’el’n’ičat’, v’irˈt’et’, vaˈz’ica, t’ir’iˈb’it’, igˈraca, suiˈt’ica
fidget;/ˈfɪdʒ.ɪt/;I;совершать продолжительные небольшие движения, которые раздражают окружающих;ёрзать, суетиться, вертеться, волноваться, нервировать, нервничать, теребить;ˈjorzat’, suiˈt’ica, v’irˈt’eca, valnaˈvaca, n’irˈv’iravat’, ˈn’erv’ičat’, t’ir’iˈb’it’
fight;/faɪt/;C;использовать физическую силу, чтобы одержать верх над другими людьми;драться, сражаться, воевать, бороться, защищаться, защищать, отстаивать, (давать) отпор, воевать, поражать;ˈdraca, sraˈžaca, vaiˈvat’, baˈroca, zaš’iˈš’aca, zaš’iˈš’at’, atˈstaivat’, daˈvat’, vaiˈvat’, paraˈžat’
fix;/fɪks/;IC;фиксировать что-либо на месте;укреплять, закреплять, устанавливать, крепить, прилаживать, фиксировать, приделывать, привязывать;ukr’iˈpl’at’, zakr’iˈpl’at’, ustaˈnavl’ivat’, kr’iˈp’it’, pr’iˈlažыvat’, f’iks’iˈravat’, pr’iˈd’elыvat’, pr’iˈv’azыvat’
flail;/fleɪl/;C;энергично хаотично двигаться;мотаться, вертеться, крутиться, размахивать;maˈtaca, v’irˈt’eca, kruˈt’ica, razˈmax’ivat’
flap;/flæp/;I;махать чем-либо, особенно руками или крыльями;взмахивать, махать, развеваться, развевать, колыхаться, колыхать, хлопать, шлепать, трепыхаться, взметать, трепаться;ˈvzmax’ivat’, maˈxat’, razv’iˈvaca, razv’iˈvat’, kalыˈxaca, kalыˈxat’, ˈxlopat’, ˈšl’opat’, tr’ipыˈxaca, vzm’iˈtat’, tr’iˈpaca
flash;/flæʃ/;IC;двигаться очень быстро;сверкать, метаться, гнаться, блескать, мелькать, носиться;sv’irˈkat’, m’iˈtaca, gnaˈca, bl’isˈkat’, m’il’ˈkat’, naˈs’ica
flee;/fliː/;C;покаидать место бегом, особенно из-за страха или опасности;бежать, спасаться, сбегать, исчезать, сторониться, скрываться, драпать, удирать, покидать;b’iˈžat’, spaˈsaca, zb’iˈgat’, ’isčiˈzat’, staraˈn’ica, skrыˈvaca, ˈdrapat’, ud’iˈrat’, pak’iˈdat’
flex;/fleks/;IC;сгибать конечность, напрягать мышцу;сгибать, гнуть, изгибать, напрягать, кривить, прогибать, прогибаться, гнуться, сгибаться;sg’iˈbat’, gnut’, ’izg’iˈbat’, napr’aˈgat’, kr’iˈv’it’, prag’iˈbat’, prag’iˈbaca, ˈgnuca, sg’iˈbaca
flick;/flɪk/;IC;двигать или ударять что-либо коротким и резким движением;смахивать, сбрасывать, щелкать, сносить, стряхивать, сдвигать, откидывать;sˈmax’ivat’, ˈsbrasыvat’, ˈš’olkat’, snaˈs’it’, ˈstr’ax’ivat’, sdv’iˈgat’, atˈk’idыvat’
flinch;/flɪntʃ/;IC;делать небольшое движение из-за боли или испуга;вздрагивать, дрожать, дрогнуть, передергиваться, изворачиваться;ˈvsdrag’ivat’, draˈžat’, ˈdrognut’, p’ir’iˈd’orgivaca, ’izvaˈračivaca
fling;/flɪŋ/;IC;двигать или делать что-либо энергично и быстро;кидаться, бросаться, швыряться, кидать, бросать, швырять, выскочить, запускать, выбрасывать, лягаться, ринуться, брыкаться;k’iˈdaca, braˈsaca, švыˈr’aca, k’iˈdat’, braˈsat’, šv’iˈrat’, ˈvыskačit’, zapusˈkat’, vыˈbrasыvat’, l’iˈgaca, ˈr’inuca, brыˈkaca
flip;/flɪp/;IC;переворачивать что-либо или переворчаиваться;переворачивать, переворачиваться, подбрасывать, опрокидывать, бросать;p’ir’ivaˈračivat’, p’ir’ivaˈračivaca, padˈbrasыvat’, apraˈk’idыvat’, braˈsat’
flirt;/flɜːt/;FIC;быстро двигаться от чего-либо к чему-либо;двигаться, махать, метнуть, бросать, кидать;ˈdv’igaca, maˈxat’, m’itˈnut’, braˈsat’, k’iˈdat’
flit;/flɪt/;IC;лететь или быстро двигаться;двигаться, лететь, порхать, перелетать, переезжать, проноситься, юркать, бежать;ˈdv’igaca, l’iˈt’et’, parˈxat’, p’ir’il’iˈtat’, p’ir’iiˈžat’, pranaˈs’ica, ˈjurkat’, b’iˈžat’
float;/fləʊt/;C;двигать или двигаться сковзь, по или через что-либо;плавать, сплавалять, плыть, носиться, проплывать, уплывать, нестись, перемещать (по воде);ˈplavat’, splaˈvl’at’, plыt’, naˈs’ica, praplыˈvat’, uplыˈvat’, n’isˈt’is’, p’ir’im’iˈš’at’
